college_name,stream,year_of_study,ai_tools_used,daily_usage_hours,use_cases,trust_in_ai_tools,do_professors_allow_use,preferred_ai_tool,awareness_level,willing_to_pay_for_access,state,device_used,internet_access,impact_on_grades_binary
Vinayaka Missions University ,Pharmacy,2,Copilot,3.5,"Project Work, Doubt Solving, Assignments",4,No,Bard,7,No,Tamil nadu,Tablet,Medium,1
"MVP Samaj's College of Pharmacy, Nashik ",Pharmacy,4,Claude,0.8,Project Work,5,No,Claude,8,No,Maharashtra,Tablet,Medium,0
"Late Baliram Kashyap Memorial Govt. Medical College, ",Medical,4,Gemini,0.6,"MCQ Practice, Projects",2,Yes,Gemini,7,Yes,Chhattisgarh,Laptop,Poor,0
Vidyasagar College ,Medical,1,Copilot,2.3,"Coding Help, Doubt Solving",1,Yes,Gemini,10,No,West bengal,Mobile,High,0
MIT World Peace University ,Law,3,"ChatGPT, Gemini, Copilot",3.5,"Exam Prep, Notes",5,No,Other,5,No,Maharashtra,Tablet,Medium,1
"Uttaranchal University, Dehradun ",Hotel-management,4,"ChatGPT, Gemini, Copilot",0.6,"Doubt Solving, Resume Writing",5,Yes,Copilot,10,Yes,Uttarakhand,Mobile,Medium,1
"Amity University, Raipur ",Engineering,4,Other,3.9,Assignments,4,No,Copilot,10,Yes,Chhattisgarh,Laptop,High,0
Central India Institute of Management Studies ,Hotel-management,3,Other,1.7,"Resume Writing, Project Work, Learning new topics",4,Yes,Bard,5,Yes,Madhya pradesh,Mobile,High,1
Institute of Technology and Science ,Management,4,Copilot,1.2,"Exam Prep, Notes",1,No,Other,3,Yes,Uttar pradesh,Mobile,Medium,0
"Ranchi University, Ranchi ",Commerce,4,Gemini,4.3,"Assignments, Doubt Solving, Learning new topics",2,No,Claude,3,No,Jharkhand,Laptop,Poor,1
"Government Mahaprabhu Vallabhacharya Post Graduate College, Mahasamund ",Science,4,"ChatGPT, Gemini, Copilot",1.8,Content Writing,1,Yes,Other,10,No,Chhattisgarh,Laptop,Poor,0
"NSHM Knowledge Campus, Durgapur ",Hotel-management,2,Copilot,2.2,"Exam Preparation, Content Writing",4,No,ChatGPT,6,Yes,West bengal,Tablet,Poor,1
S. V. Agricultural College ,Agriculture,3,Copilot,3.3,"Learning new topics, Project Work, Coding Help",4,No,Copilot,8,No,Andhra pradesh,Mobile,Medium,1
JP Institute of Hotel Management & Catering ,Hotel-management,2,Gemini,2.6,Content Writing,2,Yes,Bard,8,No,Delhi ncr,Mobile,Poor,0
"P.P. Savani University, Surat ",Commerce,3,Gemini,3.7,Exam Preparation,2,Yes,Claude,10,Yes,Gujarat,Mobile,High,1
"Adwaita Malla Barman Smriti Mahavidyalaya (AMBS), Amarpur ",Science,3,"ChatGPT, Gemini, Copilot",3.0,"Assignments, Coding Help",5,Yes,ChatGPT,8,Yes,Tripura,Tablet,Medium,0
Indira Gandhi Institute of Aeronautics ,Management,2,ChatGPT,1.3,"Assignments, Coding Help",4,No,ChatGPT,10,No,Chandigarh,Mobile,Poor,1
Nalanda Open University ,Agriculture,3,Other,3.4,Project Work,1,No,Copilot,10,Yes,Bihar,Tablet,High,0
"Akal College of Economics, Commerce and Management, ",Science,2,Copilot,2.7,"Assignments, Coding Help",2,No,ChatGPT,3,Yes,Himachal pradesh,Laptop,High,1
Indian Institute of Public Health ,Medical,3,Gemini,4.0,"MCQ Practice, Projects",3,Yes,Copilot,1,Yes,Meghalaya,Tablet,Medium,0
Apex Professional University ,Arts,4,ChatGPT,2.8,"Doubt Solving, Resume Writing",5,No,Other,9,No,Arunachal pradesh,Mobile,Poor,1
Shri Krishna University ,Law,2,Gemini,4.4,"Coding Help, MCQ Practice",2,No,ChatGPT,8,Yes,Madhya pradesh,Laptop,High,1
Birla Institute of Technology ,Science,2,"ChatGPT, Copilot",1.4,Content Writing,4,Yes,Gemini,5,Yes,Bihar,Tablet,High,1
Vinayaka Missions Sikkim University ,Science,1,Copilot,4.2,"MCQ Practice, Projects",2,Yes,Gemini,6,No,Sikkim,Tablet,Poor,1
Doranda College ,Commerce,3,Bard,3.9,"Coding Help, Content Writing, Project Work",5,Yes,Gemini,6,Yes,Jharkhand,Tablet,High,1
"Amity University, Patna ",Arts,1,Gemini,3.8,"Project Work, Exam Preparation",3,No,Other,7,Yes,Bihar,Tablet,Poor,0
Narsee Monjee Institute of Management Studies -[NMIMS ,Commerce,4,"ChatGPT, Gemini, Copilot",4.3,"Assignments, Coding Help",5,No,Gemini,4,Yes,Madhya pradesh,Laptop,Medium,1
Central University of Jharkhand ,Management,2,"Gemini, Midjourney",1.2,Content Writing,4,No,Gemini,3,No,Jharkhand,Laptop,High,0
Vardhman Institute of Medical Sciences ,Medical,1,Gemini,3.7,"Coding Help, Doubt Solving",1,Yes,Claude,4,No,Bihar,Mobile,High,1
"RKDF University, Bhopal ",Agriculture,1,Claude,2.6,"Learning new topics, Resume Writing, Project Work",5,Yes,Gemini,7,No,Madhya pradesh,Mobile,Medium,1
BJB Autonomous College ,Arts,4,Claude,3.1,"Assignments, Coding Help, Doubt Solving",5,No,Copilot,5,No,Orissa,Tablet,Medium,0
ICFAI Business School ,Science,4,ChatGPT,2.3,Resume Writing,5,No,Claude,7,Yes,Telangana,Tablet,Medium,0
"Dhanamanjuri University, Imphal ",Science,3,Gemini,2.8,Learning new topics,4,Yes,Gemini,4,Yes,Manipur,Mobile,Medium,1
"ICFAI University, Ranchi ",Arts,3,ChatGPT,3.7,"Doubt Solving, MCQ Practice, Learning new topics",3,Yes,Claude,4,Yes,Jharkhand,Laptop,Poor,1
"C. U. Shah University, Wadhwan ",Medical,2,Copilot,2.3,"Assignments, Coding Help",1,Yes,Copilot,10,No,Gujarat,Mobile,Poor,0
"NEF Law College, Guwahati ",Law,2,Claude,2.7,Resume Writing,3,Yes,Gemini,9,Yes,Assam,Tablet,Poor,0
"JSS Academy of Higher Education & Research, ",Science,1,"Gemini, Midjourney",1.4,"MCQ Practice, Projects",4,Yes,Other,6,Yes,Karnataka,Laptop,Poor,0
Jaipur National University ,Commerce,2,Copilot,3.4,"Assignments, Coding Help",1,No,ChatGPT,6,Yes,Rajasthan,Laptop,Poor,1
"Chandola Homoeopathic Medical College and Hospital, Udham ",Medical,2,Gemini,0.6,"Exam Prep, Notes",3,Yes,Gemini,6,No,Uttarakhand,Mobile,Poor,0
"PWS College of Arts & Commerce, Nagpur ",Arts,2,Copilot,1.4,"MCQ Practice, Projects",1,Yes,Copilot,2,Yes,Maharashtra,Tablet,Medium,1
"Christ College Irinjalakuda, Thrissur ",Science,4,ChatGPT,1.7,Doubt Solving,4,No,Copilot,4,Yes,Kerala,Laptop,Poor,1
"Shri Saraswati Gramvidyapith, Patan ",Agriculture,1,Gemini,3.3,"MCQ Practice, Assignments, Resume Writing",1,No,Gemini,5,No,Gujarat,Mobile,High,1
Andhra University ,Law,1,ChatGPT,1.6,"Doubt Solving, Resume Writing",3,No,Other,9,No,Andhra pradesh,Tablet,Medium,0
"BLDE Association's AS Patil College of Commerce, ",Commerce,1,Gemini,4.9,"Learning new topics, Doubt Solving",5,Yes,Gemini,10,No,Karnataka,Tablet,Medium,1
Institute of Management Studies ,Management,1,ChatGPT,1.4,Project Work,5,No,Claude,8,Yes,Uttar pradesh,Tablet,Medium,1
Sree Chitra Thirunal College of Engineering ,Engineering,4,Gemini,2.7,"Exam Prep, Notes",3,Yes,Gemini,3,Yes,Kerala,Laptop,Poor,1
"Himalayan Group of Professional Institutions, Sirmaur ",Engineering,1,"Gemini, Midjourney",2.3,Content Writing,1,Yes,Copilot,2,No,Himachal pradesh,Laptop,Poor,1
Lady Shri Ram College for Women ,Commerce,1,Gemini,4.8,"Exam Preparation, Doubt Solving, Project Work",5,No,Other,10,No,Delhi ncr,Tablet,Poor,1
"Lady Keane College, Shillong ",Management,4,Claude,4.8,"Assignments, Doubt Solving",4,Yes,Bard,5,No,Meghalaya,Tablet,High,0
"NMKRV College for Women, Bangalore ",Arts,1,"ChatGPT, Gemini, Copilot",4.5,Content Writing,4,No,Gemini,9,No,Karnataka,Tablet,Poor,1
"Devi Ahilya Vishwavidyalaya, Indore ",Pharmacy,1,"ChatGPT, Gemini, Copilot",2.9,"MCQ Practice, Projects",5,Yes,Copilot,9,No,Madhya pradesh,Mobile,Medium,1
"St Bede's College, Shimla ",Science,1,"ChatGPT, Copilot",1.7,"Exam Prep, Notes",5,Yes,ChatGPT,1,Yes,Himachal pradesh,Tablet,Poor,1
Dr DY Patil College of Agriculture Business ,Agriculture,1,"ChatGPT, Gemini, Copilot",3.1,"MCQ Practice, Projects",5,No,Copilot,7,Yes,Maharashtra,Laptop,Poor,0
"PDM University, Bahadurgarh, Bahadurgarh ",Management,3,Gemini,3.9,"Exam Prep, Notes",4,No,Copilot,9,Yes,Haryana,Laptop,High,0
"Patna Law College, Patna ",Law,4,Copilot,3.0,Exam Preparation,5,Yes,Gemini,8,Yes,Bihar,Mobile,High,1
"Government Medical College, Kozhikode ",Pharmacy,2,"Gemini, Midjourney",1.2,"Assignments, Coding Help",2,No,Gemini,4,Yes,Kerala,Mobile,Medium,0
"Al-Karim University, Katihar ",Medical,1,ChatGPT,2.2,"Coding Help, Doubt Solving",5,No,Claude,10,Yes,Bihar,Laptop,Poor,1
"PCTE Group of Institutes, Ludhiana ",Pharmacy,4,Claude,1.8,"Project Work, Content Writing, Exam Preparation",5,Yes,Gemini,4,No,Punjab,Tablet,Poor,0
"Lloyd Law College, Greater Noida ",Science,1,Claude,4.3,Assignments,2,Yes,ChatGPT,4,No,Uttar pradesh,Mobile,Medium,1
"Ganjam Law College, Berhampur ",Law,2,ChatGPT,1.5,"Resume Writing, Learning new topics",3,No,Other,2,No,Orissa,Mobile,High,0
Sardar Bhagwan Singh Post Graduate Institute of ,Pharmacy,1,"ChatGPT, Gemini, Copilot",2.9,"Assignments, Coding Help",1,Yes,Gemini,3,Yes,Uttarakhand,Tablet,Poor,1
Vaikunth Mehta National Institute of Co-Operative Management ,Management,1,"ChatGPT, Copilot",3.7,Content Writing,4,No,Copilot,4,Yes,Maharashtra,Laptop,Poor,0
Himachal Pradesh University ,Arts,3,ChatGPT,4.0,"Content Writing, Resume Writing, Assignments",1,No,Gemini,3,Yes,Himachal pradesh,Laptop,Poor,1
Jawaharlal Institute of Post Graduate Medical Education and Research ,Science,2,"ChatGPT, Gemini, Copilot",1.8,"Assignments, Coding Help",5,Yes,Copilot,4,Yes,Puducherry,Mobile,Poor,1
Mizoram University ,Commerce,2,Other,4.0,"Coding Help, Assignments",3,No,Bard,2,No,Mizoram,Tablet,Medium,1
"Mody University, Sikar ",Agriculture,3,Copilot,3.0,Exam Preparation,3,Yes,ChatGPT,2,Yes,Rajasthan,Mobile,High,1
"St. Xavier's College (Autonomous), Palayamkottai ",Science,4,ChatGPT,2.2,"Exam Prep, Notes",1,No,Other,8,No,Tamil nadu,Tablet,High,1
Indian Institute of Technology ,Engineering,3,Copilot,4.3,"Content Writing, Coding Help",2,Yes,Bard,4,Yes,Goa,Mobile,High,0
"M.V. College, Buxar ",Agriculture,2,Copilot,2.9,Doubt Solving,4,No,Gemini,6,No,Bihar,Laptop,Medium,0
"Institute of Media Management , Technology & ",Hotel-management,2,ChatGPT,2.0,"Project Work, Learning new topics, Assignments",3,No,Gemini,6,No,Uttarakhand,Laptop,Medium,1
Baosi Banikanta Kakati College ,Science,3,Other,3.6,"Doubt Solving, Content Writing",1,No,Bard,1,No,Assam,Mobile,High,0
"Government College, Kasaragod ",Commerce,2,Copilot,0.7,"Coding Help, Learning new topics, MCQ Practice",3,Yes,Gemini,9,Yes,Kerala,Tablet,Poor,1
"Dr SN Medical College & Hospital, Jodhpur ",Science,3,ChatGPT,3.2,"MCQ Practice, Projects",5,Yes,Gemini,5,Yes,Rajasthan,Mobile,High,1
"Institute of Management, Nirma university, Ahmedabad ",Commerce,2,Claude,3.7,Doubt Solving,5,Yes,Claude,8,Yes,Gujarat,Tablet,Poor,0
Indian Institute of Space Science and Technology ,Science,2,"ChatGPT, Copilot",2.2,Content Writing,3,No,Gemini,3,No,Kerala,Laptop,Medium,0
"Mar Thoma College, Tiruvalla ",Arts,1,Claude,3.3,"Resume Writing, Doubt Solving",3,No,ChatGPT,2,Yes,Kerala,Laptop,Poor,1
"Saveetha School of Law, Chennai ",Law,3,ChatGPT,3.8,"Project Work, MCQ Practice, Doubt Solving",2,No,Other,4,No,Tamil nadu,Laptop,Medium,1
"PK Roy Memorial College, Dhanbad ",Commerce,4,Claude,4.5,"Coding Help, Learning new topics, Exam Preparation",1,No,Bard,4,Yes,Jharkhand,Mobile,High,1
Bhavan's Tripura College of Science and Technology ,Management,3,"Gemini, Midjourney",0.7,"Exam Prep, Notes",4,No,Gemini,7,No,Tripura,Laptop,Poor,1
"Alankar P.G. Girls College, Jaipur ",Arts,1,Gemini,4.6,"Resume Writing, Coding Help",3,Yes,Claude,1,Yes,Rajasthan,Tablet,Medium,0
Forest Research Institute ,Agriculture,4,Gemini,3.9,"Resume Writing, Content Writing",4,No,Claude,1,Yes,Uttarakhand,Mobile,High,1
Kirloskar Institute of Advanced Management Studies ,Management,2,Other,1.1,"Assignments, Learning new topics",2,No,Gemini,2,No,Karnataka,Mobile,Medium,1
Atal Bihari Vajpayee Hindi Vishwavidyalaya ,Law,4,"ChatGPT, Copilot",4.1,"Doubt Solving, Resume Writing",5,No,Other,5,No,Madhya pradesh,Laptop,Medium,0
Dr. D.Y. Patil Institute of Pharmaceutical Sciences ,Pharmacy,4,Other,3.0,"Exam Preparation, Doubt Solving, Content Writing",2,Yes,Claude,5,No,Maharashtra,Tablet,Poor,1
"SRM University, Amaravathi ",Arts,1,Copilot,1.7,Coding Help,3,No,Claude,5,Yes,Andhra pradesh,Mobile,High,1
"Loyola Academy Degree and PG College, Secunderabad ",Commerce,2,Bard,3.0,"Learning new topics, Coding Help, MCQ Practice",1,Yes,Claude,2,Yes,Telangana,Tablet,High,1
"Miranda House, New Delhi ",Commerce,3,Bard,1.1,"Exam Preparation, Doubt Solving",1,Yes,Other,3,Yes,Delhi ncr,Tablet,High,0
"OPJS University, Churu ",Pharmacy,2,ChatGPT,3.1,"Learning new topics, Coding Help, MCQ Practice",4,No,Copilot,2,No,Rajasthan,Laptop,High,1
Govind Ballabh Pant University of Agriculture and ,Science,4,"ChatGPT, Copilot",1.1,"Exam Prep, Notes",3,Yes,ChatGPT,3,Yes,Uttarakhand,Laptop,Medium,1
Dr BC Roy College of Pharmacy and ,Pharmacy,1,ChatGPT,2.9,"Assignments, Doubt Solving",5,No,ChatGPT,9,No,West bengal,Mobile,Medium,0
"Auro University, Surat ",Commerce,4,Copilot,1.9,"Content Writing, Resume Writing",1,Yes,ChatGPT,10,No,Gujarat,Mobile,Medium,0
"Chameli Devi Group of Institution, Indore ",Pharmacy,3,ChatGPT,2.0,"Assignments, Project Work, Doubt Solving",2,No,Other,9,No,Madhya pradesh,Tablet,High,1
Maharashtra Institute of Medical Education and Research ,Medical,4,Bard,1.9,"Assignments, Exam Preparation, Resume Writing",5,Yes,Other,1,Yes,Maharashtra,Mobile,Poor,1
Chitkara University ,Pharmacy,1,ChatGPT,2.8,"Assignments, Coding Help",3,No,ChatGPT,8,No,Punjab,Mobile,High,0
Institute of Hotel Management and Catering Technology ,Hotel-management,3,"ChatGPT, Copilot",2.2,Learning new topics,3,Yes,Gemini,6,No,Kerala,Mobile,High,1
Narsee Monjee Institute of Management Studies -[NMIMS ,Law,3,"ChatGPT, Copilot",1.4,"Assignments, Coding Help",5,Yes,ChatGPT,4,Yes,Madhya pradesh,Laptop,Medium,1
"Amity University, Kolkata ",Commerce,4,ChatGPT,1.4,"Exam Prep, Notes",4,Yes,Other,3,Yes,West bengal,Laptop,High,1
"Government Ram Bhajan Rai NES College, Jashpur ",Commerce,2,ChatGPT,3.4,Learning new topics,3,Yes,Other,6,No,Chhattisgarh,Laptop,Poor,0
"SD College of Pharmacy, Barnala ",Pharmacy,4,Copilot,1.3,"Resume Writing, Coding Help",3,No,Copilot,2,Yes,Punjab,Mobile,Medium,1
"NEPEDS Group of Institutions, Guwahati ",Medical,3,ChatGPT,0.9,"Learning new topics, Doubt Solving",4,No,Bard,2,No,Assam,Laptop,Poor,0
"Chitkara School of Hospitality -[CSH], Chandigarh ",Hotel-management,2,ChatGPT,1.4,"MCQ Practice, Exam Preparation, Doubt Solving",1,No,Claude,9,Yes,Punjab,Mobile,Medium,1
Dantuluri Narayana Raju college ,Commerce,1,Copilot,2.1,"Assignments, Coding Help",1,No,ChatGPT,2,No,Andhra pradesh,Laptop,High,1
Poomulli Neelakandan Namboodiripad Memorial Ayurveda Medical College ,Medical,4,"ChatGPT, Copilot",0.8,"Doubt Solving, Resume Writing",5,Yes,Gemini,3,No,Kerala,Tablet,High,0
"Amity University, Gwalior ",Science,3,"ChatGPT, Copilot",0.9,Content Writing,4,Yes,Other,7,No,Madhya pradesh,Laptop,Poor,0
All India Institute of Medical Sciences ,Pharmacy,3,Copilot,3.3,Content Writing,2,No,Gemini,6,Yes,Rajasthan,Tablet,Medium,1
"JNTUA College of Engineering, Ananthapur ",Engineering,2,ChatGPT,3.1,"Assignments, Coding Help",5,Yes,Gemini,8,No,Andhra pradesh,Mobile,High,1
Spectrum Institute of Pharmaceutical Sciences & Research ,Pharmacy,4,Gemini,3.9,"Exam Prep, Notes",2,Yes,Gemini,7,No,Uttar pradesh,Tablet,Medium,1
"Lady Doak College, Madurai ",Medical,2,"ChatGPT, Copilot",2.1,"MCQ Practice, Projects",3,No,Copilot,3,No,Tamil nadu,Laptop,Medium,1
Sister Nivedita University ,Management,1,Other,4.4,"Doubt Solving, Project Work",5,Yes,Bard,1,No,West bengal,Tablet,High,0
Zoram Medical College ,Medical,4,Claude,3.5,"Coding Help, Doubt Solving, Resume Writing",5,No,Other,6,No,Mizoram,Laptop,Poor,0
Swami Vivekanand College of Computer Science ,Science,3,Copilot,4.1,"Coding Help, Project Work, Assignments",4,Yes,Gemini,7,Yes,Gujarat,Mobile,High,0
"Jamia Millia Islamia University-[JMI], New Delhi ",Law,4,"ChatGPT, Copilot",1.8,Learning new topics,5,Yes,Other,2,No,Delhi ncr,Mobile,Poor,1
Manav Rachna International Institute of Research and ,Engineering,3,ChatGPT,1.8,Content Writing,5,Yes,Other,5,Yes,Haryana,Mobile,Medium,1
Indian Institute of Technology ,Engineering,2,Other,3.8,Assignments,5,Yes,Gemini,8,No,Telangana,Mobile,High,1
Sikkim Manipal University ,Commerce,3,"ChatGPT, Copilot",4.0,Content Writing,5,Yes,Other,9,Yes,Sikkim,Laptop,High,1
"University School of Law, Gujarat University ",Law,4,"ChatGPT, Gemini, Copilot",2.5,Content Writing,5,No,ChatGPT,3,No,Gujarat,Tablet,High,0
"Ethiraj College for Women, Chennai ",Arts,2,"ChatGPT, Copilot",4.4,Content Writing,3,No,ChatGPT,10,Yes,Tamil nadu,Laptop,Medium,1
Rungta College of Science and Technology ,Science,3,ChatGPT,4.7,"Assignments, Coding Help, Doubt Solving",4,Yes,ChatGPT,3,No,Chhattisgarh,Laptop,Poor,1
"Synod College, Shillong ",Arts,4,Claude,3.8,Content Writing,2,Yes,Gemini,9,No,Meghalaya,Laptop,High,0
Indian Institute of Information Technology ,Engineering,3,"Gemini, Midjourney",2.2,"Assignments, Coding Help",4,No,Gemini,10,No,Gujarat,Laptop,Poor,0
Bishop Heber College ,Commerce,4,ChatGPT,4.0,Content Writing,1,No,Gemini,7,Yes,Tamil nadu,Tablet,Medium,0
Dr YS Parmar University of Horticulture and ,Management,4,Copilot,1.8,"MCQ Practice, Projects",5,Yes,Gemini,6,No,Himachal pradesh,Mobile,Poor,0
Modern Vidya Niketan ,Law,4,Bard,1.0,"Learning new topics, Content Writing, Resume Writing",1,Yes,Copilot,5,No,Haryana,Laptop,Medium,1
Oriental University ,Engineering,4,"ChatGPT, Gemini, Copilot",3.1,"Exam Prep, Notes",2,Yes,ChatGPT,7,Yes,Madhya pradesh,Mobile,Medium,0
Sam Higginbottom University of Agriculture Technology and ,Commerce,1,Gemini,1.8,Learning new topics,1,Yes,Gemini,5,Yes,Uttar pradesh,Mobile,Poor,0
"Indira Gandhi Technological And Medical Sciences University, Ziro ",Law,1,Other,1.3,Content Writing,4,Yes,Other,3,Yes,Arunachal pradesh,Laptop,Medium,1
"D.K. College, Buxar ",Arts,4,Bard,3.1,"Project Work, Exam Preparation",2,No,Bard,6,No,Bihar,Tablet,High,0
"Dhemaji Commerce College, Dhemaji ",Commerce,4,Claude,1.1,"Doubt Solving, Learning new topics, Project Work",4,No,Bard,10,Yes,Assam,Laptop,Poor,0
Birla Institute of Technology and Science ,Science,2,Bard,4.4,"Doubt Solving, Assignments, Coding Help",4,No,Other,9,No,Goa,Mobile,Poor,0
The Neotia University ,Management,3,"ChatGPT, Copilot",3.0,"Exam Prep, Notes",1,Yes,ChatGPT,9,No,West bengal,Mobile,Medium,1
"St. Edmund's College, Shillong ",Arts,3,Copilot,1.1,"Exam Prep, Notes",5,No,Copilot,6,No,Meghalaya,Tablet,Medium,1
"Lingaya's Vidyapeeth, Faridabad ",Law,3,"ChatGPT, Copilot",0.5,"Exam Prep, Notes",5,No,ChatGPT,6,No,Haryana,Tablet,High,1
King George's Medical University ,Medical,2,"ChatGPT, Gemini, Copilot",4.2,"Doubt Solving, Resume Writing",3,Yes,ChatGPT,7,Yes,Uttar pradesh,Laptop,Poor,0
"Vels Institute of Science, Technology & Advanced ",Medical,4,Gemini,2.5,"Assignments, Coding Help",5,No,Copilot,9,Yes,Tamil nadu,Mobile,Poor,0
Dr Babasaheb Ambedkar Open University ,Science,4,"ChatGPT, Gemini, Copilot",4.1,"Doubt Solving, Resume Writing",5,No,Other,10,Yes,Gujarat,Mobile,Medium,0
"Uttaranchal Institute of Management, Dehradun ",Commerce,4,Gemini,3.7,"Assignments, Project Work, Content Writing",3,Yes,Copilot,7,Yes,Uttarakhand,Mobile,Poor,1
"Alagappa University, Karaikudi ",Agriculture,4,"Gemini, Midjourney",2.5,Content Writing,4,No,Copilot,9,Yes,Tamil nadu,Mobile,Poor,0
Tezpur Medical College & Hospital ,Medical,4,ChatGPT,4.1,"Learning new topics, Coding Help",5,No,Copilot,3,No,Assam,Laptop,High,1
International Institute of Information Technology ,Engineering,1,"ChatGPT, Copilot",0.7,"MCQ Practice, Projects",1,No,Copilot,9,Yes,Karnataka,Tablet,High,0
"RKDF University, Ranchi ",Agriculture,3,Gemini,0.9,"Project Work, MCQ Practice, Exam Preparation",2,No,Bard,8,No,Jharkhand,Laptop,Poor,0
"Sophia Polytechnic, Mumbai ",Hotel-management,4,ChatGPT,1.2,Learning new topics,3,No,ChatGPT,6,No,Maharashtra,Laptop,High,0
"Mulund College of Commerce, Mumbai ",Commerce,2,"Gemini, Midjourney",0.9,Learning new topics,2,Yes,Other,9,Yes,Maharashtra,Laptop,Medium,0
"Malwanchal University, Indore ",Pharmacy,4,Gemini,3.2,Exam Preparation,5,Yes,Bard,9,Yes,Madhya pradesh,Mobile,Poor,1
Assam Rajiv Gandhi University of Cooperative Management ,Science,1,Gemini,1.8,Content Writing,4,No,Gemini,6,No,Assam,Laptop,Poor,1
Rajendra Institute of Medical Sciences ,Medical,3,Gemini,4.9,"Resume Writing, Doubt Solving, Coding Help",1,No,Bard,3,Yes,Jharkhand,Laptop,High,0
National Institute of Technology ,Science,1,Other,2.6,Project Work,1,No,Other,10,No,Arunachal pradesh,Tablet,Poor,1
Krishna University ,Hotel-management,3,Copilot,2.1,"Doubt Solving, Resume Writing",4,Yes,Gemini,4,No,Andhra pradesh,Laptop,Medium,1
Himalayan University ,Pharmacy,1,Other,3.9,"Content Writing, MCQ Practice",4,No,Copilot,4,Yes,Arunachal pradesh,Mobile,Poor,0
"Junagadh Agricultural University, Junagadh ",Agriculture,4,Other,3.2,"Resume Writing, Exam Preparation",5,No,Claude,6,Yes,Gujarat,Mobile,Medium,1
"Amity University, Gurgaon ",Engineering,2,Claude,1.6,Learning new topics,1,No,ChatGPT,9,No,Haryana,Mobile,Medium,1
"Bhavik College of Management and Information Technology, ",Science,2,Other,1.9,"Learning new topics, Exam Preparation, Content Writing",4,Yes,Gemini,2,Yes,Chandigarh,Mobile,Medium,0
National Institute of Technology ,Engineering,2,ChatGPT,0.9,"Exam Prep, Notes",4,No,Copilot,10,Yes,Delhi ncr,Tablet,Poor,0
Amar Shaheed Baba Ajit Singh Jujhar Singh ,Pharmacy,4,"Gemini, Midjourney",2.2,Learning new topics,2,Yes,Other,1,Yes,Punjab,Laptop,Poor,1
"Government Ram Bhajan Rai NES College, Jashpur ",Arts,1,Gemini,4.8,"Doubt Solving, Coding Help, MCQ Practice",1,No,Bard,5,Yes,Chhattisgarh,Mobile,Medium,1
Government Degree College ,Arts,4,"ChatGPT, Gemini, Copilot",4.1,Learning new topics,4,Yes,Other,7,Yes,Jammu,Laptop,High,1
Sri Guru Ram Das Institute of Dental ,Medical,4,"Gemini, Midjourney",2.8,Content Writing,4,No,Copilot,7,No,Punjab,Tablet,Medium,0
"Swami Keshwanand Rajasthan Agricultural University, Bikaner ",Science,2,"Gemini, Midjourney",0.7,"Assignments, Coding Help",3,Yes,Other,2,No,Rajasthan,Mobile,High,1
"Starex University, Gurgaon ",Agriculture,3,Other,1.4,"Project Work, Assignments, MCQ Practice",5,No,Claude,4,No,Delhi ncr,Laptop,High,0
"Jagannath University, Jaipur ",Hotel-management,2,Claude,0.7,MCQ Practice,3,Yes,ChatGPT,1,Yes,Rajasthan,Tablet,Poor,0
Nalanda Open University ,Law,2,ChatGPT,2.2,"Doubt Solving, Resume Writing",2,No,ChatGPT,2,Yes,Bihar,Mobile,Medium,1
Bhagwan Mahavir University ,Hotel-management,1,Copilot,4.4,"Doubt Solving, Exam Preparation, Content Writing",2,No,Copilot,7,Yes,Gujarat,Laptop,Medium,0
National Research Centre for Orchids ,Agriculture,2,Gemini,3.5,Learning new topics,4,No,Gemini,5,Yes,Sikkim,Tablet,Medium,1
RJ School of Management Studies ,Commerce,3,ChatGPT,2.8,"MCQ Practice, Projects",1,No,ChatGPT,5,Yes,Orissa,Mobile,High,1
"Akal College of Economics, Commerce and Management, ",Management,4,Bard,4.0,"Content Writing, MCQ Practice",2,Yes,Bard,4,Yes,Himachal pradesh,Tablet,High,0
RK University ,Medical,1,Gemini,3.5,"Doubt Solving, Content Writing",4,No,Gemini,4,Yes,Gujarat,Laptop,Medium,1
"Sai group of institutions, Dehradun ",Arts,4,Copilot,1.8,Content Writing,3,No,Other,9,No,Uttarakhand,Mobile,High,1
Institute of Bioresources and Sustainable Development ,Science,2,"Gemini, Midjourney",1.9,"MCQ Practice, Projects",3,No,ChatGPT,9,Yes,Manipur,Laptop,High,0
"Umshyrpi College, Shillong ",Commerce,3,"ChatGPT, Copilot",1.0,"Assignments, Coding Help",2,Yes,Other,2,Yes,Meghalaya,Laptop,Medium,1
ICFAI Business School ,Science,4,Copilot,2.7,"MCQ Practice, Projects",3,No,Other,5,No,Telangana,Tablet,Poor,1
"ISBM University, Raipur ",Law,4,"Gemini, Midjourney",1.0,"Assignments, Coding Help",1,No,Copilot,9,Yes,Chhattisgarh,Tablet,Medium,0
Garden City University ,Hotel-management,3,"ChatGPT, Gemini, Copilot",1.3,Learning new topics,2,Yes,Gemini,6,No,Karnataka,Mobile,Medium,0
"SRM University Delhi NCR, Sonepat ",Arts,4,Bard,0.7,"Assignments, Learning new topics",1,No,Copilot,10,No,Haryana,Mobile,Poor,1
Kabi Nazrul Mahavidyalaya ,Arts,1,Gemini,4.9,"Learning new topics, MCQ Practice",1,No,Gemini,8,Yes,Tripura,Laptop,Poor,0
